0.255182	0.3045	0.917694
0.230874	0.227759	0.945951
0.347361	0.316893	0.882564
0.255053	0.280096	0.92547
0.319687	0.272347	0.907539
-----
0.255182	0.3045	0.917694
0.255182	0.227759	0.939685
0.255182	0.316893	0.913488
0.255182	0.280096	0.925434
0.255182	0.272347	0.927744
0.230874	0.3045	0.924109
0.230874	0.227759	0.945951
0.230874	0.316893	0.919933
0.230874	0.280096	0.931796
0.230874	0.272347	0.93409
0.347361	0.3045	0.886916
0.347361	0.227759	0.909652
0.347361	0.316893	0.882564
0.347361	0.280096	0.894923
0.347361	0.272347	0.897311
0.255053	0.3045	0.91773
0.255053	0.227759	0.93972
0.255053	0.316893	0.913525
0.255053	0.280096	0.92547
0.255053	0.272347	0.92778
0.319687	0.3045	0.897263
0.319687	0.227759	0.919743
0.319687	0.316893	0.892961
0.319687	0.280096	0.905178
0.319687	0.272347	0.907539


0.897759	0.111608	0.426114
0.841252	0.379458	0.385106
0.828002	0.407612	0.385052
0.888758	0.349319	0.296791
0.841397	0.318149	0.436843
-----
0.897759	0.111608	0.426114
0.897759	0.379458	0.223698
0.897759	0.407612	0.166979
0.897759	0.349319	0.268339
0.897759	0.318149	0.304648
0.841252	0.111608	0.528998
0.841252	0.379458	0.385106
0.841252	0.407612	0.355174
0.841252	0.349319	0.41264
0.841252	0.318149	0.437123
0.828002	0.111608	0.549506
0.828002	0.379458	0.412824
0.828002	0.407612	0.385052
0.828002	0.349319	0.438622
0.828002	0.318149	0.461729
0.888758	0.111608	0.444581
0.888758	0.379458	0.257138
0.888758	0.407612	0.209669
0.888758	0.349319	0.296791
0.888758	0.318149	0.329985
0.841397	0.111608	0.528767
0.841397	0.379458	0.384788
0.841397	0.407612	0.354828
0.841397	0.349319	0.412343
0.841397	0.318149	0.436843


